-a\<b>Transliteration: </b>a
<b>Transliteration: </b>a\-a
-e\<b>Transliteration: </b>e
<b>Transliteration: </b>e\-e
-i\<b>Transliteration: </b>i
<b>Transliteration: </b>i\-i
0-\<b>Transliteration: </b>me
<b>Transliteration: </b>me\0-
2-\<b>Transliteration: </b>lu2
<b>Transliteration: </b>lu2\2-
64\<b>Transliteration: </b>bu3r3
64\<b>Transliteration: </b>u
64\<b>Transliteration: </b>uu3r3
<b>Transliteration: </b>bu3r3\64
<b>Transliteration: </b>u\64
<b>Transliteration: </b>uu3r3\64
a1\<b>Transliteration: </b>sza10
<b>Transliteration: </b>sza10\a1
hi\<b>Transliteration: </b>hi
<b>Transliteration: </b>hi\hi
lu\<b>Transliteration: </b>lu2
<b>Transliteration: </b>lu2\lu
me\<b>Transliteration: </b>mesz
<b>Transliteration: </b>mesz\me
mi\<b>Transliteration: </b>[mi]
<b>Transliteration: </b>[mi]\mi
sz\<b>Transliteration: </b>mesz
<b>Transliteration: </b>mesz\sz
𒀀\<b>Transliteration: </b>a
𒀀\<b>Transliteration: </b>aku;
𒀀\<b>Transliteration: </b>dur5
𒀀\<b>Transliteration: </b>duru5
𒀀\<b>Transliteration: </b>kar
𒀀\<b>Transliteration: </b>mu
𒀀\<b>Transliteration: </b>wa
𒀀\<b>Transliteration: </b>𒀀
<b>Transliteration: </b>a\𒀀
<b>Transliteration: </b>aku;\𒀀
<b>Transliteration: </b>dur5\𒀀
<b>Transliteration: </b>duru5\𒀀
<b>Transliteration: </b>kar\𒀀
<b>Transliteration: </b>mu\𒀀
<b>Transliteration: </b>wa\𒀀
<b>Transliteration: </b>𒀀\𒀀
𒀁\<b>Transliteration: </b>eduru
<b>Transliteration: </b>eduru\𒀁
𒀂\<b>Transliteration: </b>agam
<b>Transliteration: </b>agam\𒀂
𒀄\<b>Transliteration: </b>sah7
𒀄\<b>Transliteration: </b>za3h3
<b>Transliteration: </b>sah7\𒀄
<b>Transliteration: </b>za3h3\𒀄
𒀉\<b>Transliteration: </b>a
𒀉\<b>Transliteration: </b>a2
𒀉\<b>Transliteration: </b>ed
𒀉\<b>Transliteration: </b>et
𒀉\<b>Transliteration: </b>et,
𒀉\<b>Transliteration: </b>id
𒀉\<b>Transliteration: </b>it
𒀉\<b>Transliteration: </b>it,
𒀉\<b>Transliteration: </b>te8
<b>Transliteration: </b>a\𒀉
<b>Transliteration: </b>a2\𒀉
<b>Transliteration: </b>ed\𒀉
<b>Transliteration: </b>et\𒀉
<b>Transliteration: </b>et,\𒀉
<b>Transliteration: </b>id\𒀉
